employee_id,age,gender,education_level,department,job_level,experience_years,salary_lpa,training_hours,certifications_count,projects_count,avg_task_delay_days,on_time_delivery_rate,bug_count,code_review_score,qa_defect_density,story_points_completed,billable_hours_ratio,sick_days,unplanned_absences,avg_login_hours,peer_feedback_score,manager_score,kudos_count,promotions_in_2y,salary_percentile_band,manager_tenure,internal_hackathons_participated,overtime_hours_monthly,engagement_score,last_promotion_years_ago,perf_band_next
EMP10000,24,Male,Bachelor,Support,Junior,0,9.81,49.3,2,5,3.8,0.968,12,3.54,0.09,76.0,0.83,1,1,8.8,4.55,3.65,5,0,High,2.2,0,18.1,78.1,2.8,Medium
EMP10001,51,Female,Bachelor,Finance,Senior,26,23.78,33.4,2,9,0.9,0.811,11,3.41,1.04,67.4,0.71,1,2,10.7,3.9,4.19,5,0,Medium,5.6,2,5.2,71.0,1.2,High
EMP10002,46,Female,Bachelor,Engineering,Junior,24,16.31,66.4,2,6,5.5,0.921,9,3.91,0.91,76.0,0.778,2,2,9.1,3.61,4.55,2,0,Low,3.2,1,26.2,76.3,0.4,High
EMP10003,38,Female,Master,Marketing,Mid,16,16.31,45.9,1,5,1.2,0.902,14,3.39,1.2,51.8,0.656,7,1,8.6,4.75,2.55,9,0,Medium,0.9,1,18.9,83.8,1.1,Medium
EMP10004,37,Female,Master,Engineering,Senior,13,15.54,54.8,2,9,1.8,0.787,15,5.0,2.07,32.9,0.655,4,1,6.5,2.56,3.37,7,0,Low,3.9,0,27.3,60.2,5.4,Medium
EMP10005,54,Female,Master,Marketing,Senior,31,22.52,0.0,1,9,3.6,0.904,10,3.29,2.29,64.0,0.763,7,0,7.1,3.09,3.18,13,0,Low,7.4,1,27.8,72.0,3.5,Medium
EMP10006,24,Female,Diploma,Finance,Junior,0,3.99,36.5,2,4,-2.0,0.915,24,3.99,0.89,42.4,0.613,4,3,7.7,4.18,3.09,7,1,Medium,5.5,1,20.4,71.1,4.0,Low
EMP10007,48,Male,Bachelor,Engineering,Junior,27,16.96,45.4,3,5,-4.2,0.855,11,4.28,1.09,49.0,0.488,6,3,9.2,4.2,3.43,12,0,Low,8.9,1,9.2,54.7,4.4,High
EMP10008,28,Female,Bachelor,Engineering,Mid,7,12.24,42.0,3,5,7.7,0.748,13,3.27,2.78,90.6,0.789,5,2,7.0,4.79,2.34,12,1,Medium,4.9,3,0.0,90.9,2.6,Medium
EMP10009,24,Male,Diploma,Marketing,Junior,0,3.68,55.3,4,7,1.0,0.671,10,3.82,3.33,99.3,0.939,5,0,8.9,2.45,3.44,12,0,Low,9.9,1,21.4,57.6,1.9,Medium
EMP10010,41,Female,Bachelor,Engineering,Senior,18,21.44,31.4,2,6,12.5,0.881,14,3.35,2.93,90.1,0.394,5,2,8.2,4.32,3.72,2,0,High,4.9,2,14.3,91.5,6.6,Medium
EMP10011,59,Female,Bachelor,Support,Mid,34,23.0,38.9,0,6,11.9,0.771,15,3.89,0.32,86.1,0.868,6,0,8.5,3.05,2.97,15,0,Low,4.5,0,24.0,49.9,4.0,Medium
EMP10012,49,Female,Master,Marketing,Mid,25,19.86,59.3,2,6,2.0,0.978,9,3.77,2.87,66.3,0.572,3,2,7.8,4.05,3.36,8,0,Medium,1.7,0,23.0,47.6,0.0,High
EMP10013,50,Other,Bachelor,Finance,Junior,27,18.17,0.0,2,8,13.4,0.766,11,3.6,3.47,87.3,0.351,2,1,7.4,3.76,3.71,8,0,Medium,6.9,1,22.0,65.0,0.0,Medium
EMP10014,48,Male,Master,Engineering,Mid,27,23.79,48.6,3,4,7.8,0.852,9,2.89,0.27,72.8,0.824,3,1,6.9,4.31,3.78,13,0,High,3.4,1,18.5,76.0,4.4,High
EMP10015,51,Female,Bachelor,Marketing,Junior,30,20.63,32.0,3,2,1.4,0.903,12,5.0,2.77,107.8,0.921,4,2,8.8,3.66,2.56,10,0,Medium,3.1,3,0.0,75.9,1.4,High
